Rank,ID,start datetime,end datetime,Data file
1,2464,2014/07/08 10:15,2014/07/08 20:00,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\1_2464_Birmingham_EA-RG_201407081015-201407082000.csv
2,632,2006/08/29 11:25,2006/08/29 14:20,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\2_632_Birmingham_EA-RG_200608291125-200608291420.csv
3,1998,2012/07/18 05:50,2012/07/19 04:15,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\3_1998_Birmingham_EA-RG_201207180550-201207190415.csv
4,481,2005/12/31 20:05,2006/01/01 04:25,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\4_481_Birmingham_EA-RG_200512312005-200601010425.csv
5,2879,2016/04/04 06:15,2016/04/04 16:00,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\5_2879_Birmingham_EA-RG_201604040615-201604041600.csv
6,2026,2012/08/25 12:05,2012/08/25 22:40,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\6_2026_Birmingham_EA-RG_201208251205-201208252240.csv
7,2371,2014/02/07 22:25,2014/02/08 05:20,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\7_2371_Birmingham_EA-RG_201402072225-201402080520.csv
8,1564,2010/09/06 15:05,2010/09/07 00:05,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\8_1564_Birmingham_EA-RG_201009061505-201009070005.csv
9,393,2005/08/18 16:20,2005/08/18 22:55,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\9_393_Birmingham_EA-RG_200508181620-200508182255.csv
10,2533,2014/11/03 03:55,2014/11/04 00:30,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\10_2533_Birmingham_EA-RG_201411030355-201411040030.csv
11,2539,2014/11/10 15:35,2014/11/12 11:05,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\11_2539_Birmingham_EA-RG_201411101535-201411121105.csv
12,2004,2012/07/30 23:50,2012/07/31 07:00,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\12_2004_Birmingham_EA-RG_201207302350-201207310700.csv
13,1377,2009/11/12 14:10,2009/11/14 16:55,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\13_1377_Birmingham_EA-RG_200911121410-200911141655.csv
14,1433,2010/01/16 03:55,2010/01/16 10:30,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\14_1433_Birmingham_EA-RG_201001160355-201001161030.csv
15,1367,2009/11/02 22:45,2009/11/03 15:40,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\15_1367_Birmingham_EA-RG_200911022245-200911031540.csv
16,828,2007/07/03 21:10,2007/07/04 02:25,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\16_828_Birmingham_EA-RG_200707032110-200707040225.csv
17,2459,2014/06/28 09:45,2014/06/28 17:15,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\17_2459_Birmingham_EA-RG_201406280945-201406281715.csv
18,2367,2014/02/01 13:50,2014/02/02 00:35,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\18_2367_Birmingham_EA-RG_201402011350-201402020035.csv
19,2926,2016/06/19 15:05,2016/06/19 22:25,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\19_2926_Birmingham_EA-RG_201606191505-201606192225.csv
20,2536,2014/11/06 14:30,2014/11/08 13:30,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\20_2536_Birmingham_EA-RG_201411061430-201411081330.csv
21,2099,2012/11/24 05:50,2012/11/25 05:50,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\21_2099_Birmingham_EA-RG_201211240550-201211250550.csv
22,1983,2012/06/29 20:40,2012/06/30 21:00,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\22_1983_Birmingham_EA-RG_201206292040-201206302100.csv
23,554,2006/04/19 06:45,2006/04/20 17:35,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\23_554_Birmingham_EA-RG_200604190645-200604201735.csv
24,1080,2008/07/31 09:30,2008/08/01 12:40,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\24_1080_Birmingham_EA-RG_200807310930-200808011240.csv
25,1773,2011/08/07 13:10,2011/08/07 23:30,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\25_1773_Birmingham_EA-RG_201108071310-201108072330.csv
26,1106,2008/09/09 00:50,2008/09/09 18:45,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\26_1106_Birmingham_EA-RG_200809090050-200809091845.csv
27,1513,2010/06/13 14:20,2010/06/14 02:20,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\27_1513_Birmingham_EA-RG_201006131420-201006140220.csv
